tx_id,user_id,merchant_id,tx_timestamp,amount,channel,status,device_id,injected_scenario
T0000001,U00359,M0044,2026-01-01 00:10:20,5908.05,card_present,approved,D00143,normal
T0000002,U00376,M0008,2026-01-01 00:16:01,1873.5,online,approved,D00559,normal
T0000003,U00381,M0106,2026-01-01 00:21:58,1568.16,card_present,approved,D00143,normal
T0000004,U00605,M0040,2026-01-01 00:53:53,35588.7,online,approved,D00839,normal
T0000005,U00146,M0050,2026-01-01 01:04:38,7384.77,online,approved,D00726,normal
T0000006,U00163,M0025,2026-01-01 01:45:52,2449.55,card_present,approved,D01098,normal
T0000007,U00065,M0068,2026-01-01 02:19:45,994.98,online,approved,D00246,normal
T0000008,U00673,M0036,2026-01-01 02:40:29,1358.85,card_present,approved,D01214,normal
T0000009,U00394,M0034,2026-01-01 02:41:23,1299.26,mobile,approved,D00599,normal
T0000010,U00164,M0112,2026-01-01 03:08:38,2397.47,mobile,approved,D01370,normal
T0000011,U00021,M0053,2026-01-01 03:09:26,720.9,card_present,approved,D01161,normal
T0000012,U00742,M0070,2026-01-01 03:18:14,12311.2,card_present,approved,D00674,normal
T0000013,U00447,M0002,2026-01-01 04:01:01,454.86,mobile,approved,D01297,normal
T0000014,U00270,M0069,2026-01-01 04:31:39,895.25,card_present,approved,D01224,normal
T0000015,U00280,M0108,2026-01-01 04:47:57,24597.8,card_present,approved,D01307,normal
T0000016,U00425,M0098,2026-01-01 05:52:31,1205.86,online,approved,D00115,normal
T0000017,U00260,M0054,2026-01-01 07:08:34,1330.96,mobile,approved,D01555,normal
T0000018,U00108,M0031,2026-01-01 07:08:36,1880.61,online,approved,D00295,normal
T0000019,U00591,M0087,2026-01-01 07:12:51,1057.48,mobile,approved,D00300,normal
T0000020,U00526,M0110,2026-01-01 07:26:45,18805.45,card_present,approved,D00068,normal
T0000021,U00152,M0068,2026-01-01 07:27:23,991.44,online,approved,D00044,normal
T0000022,U00051,M0101,2026-01-01 07:31:56,2415.26,mobile,approved,D00944,normal
T0000023,U00790,M0031,2026-01-01 07:32:57,10468.33,online,declined,D01406,normal
T0000024,U00069,M0113,2026-01-01 07:34:52,849.44,card_present,approved,D01337,normal
T0000025,U00037,M0012,2026-01-01 07:35:09,398.25,online,approved,D00273,normal
T0000026,U00586,M0103,2026-01-01 07:40:34,1916.01,card_present,approved,D00758,normal
T0000027,U00717,M0002,2026-01-01 07:45:23,2101.16,card_present,approved,D00937,normal
T0000028,U00664,M0057,2026-01-01 07:46:28,3059.97,card_present,approved,D00629,normal
T0000029,U00307,M0081,2026-01-01 07:53:07,2102.01,card_present,approved,D00650,normal
T0000030,U00571,M0024,2026-01-01 08:03:04,22505.34,card_present,approved,D01536,normal
T0000031,U00695,M0021,2026-01-01 08:03:31,2090.96,mobile,approved,D00041,normal
T0000032,U00646,M0057,2026-01-01 08:08:33,3427.34,online,approved,D00456,normal
T0000033,U00131,M0097,2026-01-01 08:12:41,38789.16,online,approved,D01117,normal
T0000034,U00743,M0067,2026-01-01 08:24:27,2825.16,card_present,approved,D00163,normal
