user_id,segment,city,risk_profile,tx_count,distinct_merchants,active_days,total_amount,avg_ticket,night_tx_share,out_of_home_city_share,declined_share,max_daily_tx_count,max_daily_amount,peer_avg_total_amount,peer_avg_tx_count,peer_avg_ticket,total_amount_peer_ratio,tx_count_peer_ratio,avg_ticket_peer_ratio,amount_rank_in_peer_group
U00534,mass,Kazan,low,115,69,27,929506.43,8937.56,0.313,0.8696,0.0957,27,262354.97,182876.49,29.96,6180.02,5.0827,3.8382,1.4462,1
U00144,mass,Saint Petersburg,low,111,66,26,689919.24,6830.88,0.2703,0.7568,0.0901,24,237774.01,143356.01,26.6,5518.85,4.8126,4.1736,1.2377,1
U00210,mass,Kazan,low,103,68,21,801875.51,8811.82,0.3301,0.8252,0.1165,24,451901.66,182876.49,29.96,6180.02,4.3848,3.4377,1.4259,2
U00066,mass,Moscow,high,108,65,24,585860.82,6438.03,0.213,0.787,0.1574,27,185528.86,142662.88,25.04,5897.48,4.1066,4.3136,1.0917,1
U00438,mass,Moscow,low,108,59,23,585507.45,5855.07,0.2685,0.6389,0.0741,24,124526.16,142662.88,25.04,5897.48,4.1041,4.3136,0.9928,2
U00265,affluent,Nizhny Novgorod,low,116,73,27,785199.41,7338.31,0.2759,0.9397,0.0776,24,172089.54,209612.39,30.13,7105.15,3.746,3.8506,1.0328,1
U00393,mass,Ekaterinburg,low,106,66,23,499637.22,5150.9,0.3491,0.9528,0.0849,32,168259.05,146378.08,25.98,5887.31,3.4133,4.0797,0.8749,1
U00755,mass,Saint Petersburg,medium,105,66,23,456963.06,4810.14,0.2857,0.7048,0.0952,23,139598.23,143356.01,26.6,5518.85,3.1876,3.948,0.8716,2
U00143,affluent,Saint Petersburg,low,112,62,27,638600.0,5912.96,0.4018,0.6964,0.0357,25,166617.05,202805.33,27.35,7949.17,3.1488,4.0946,0.7438,1
U00287,mass,Moscow,low,30,23,25,417516.92,13917.23,0.2,0.8,0.0,2,137453.91,142662.88,25.04,5897.48,2.9266,1.1982,2.3599,3
U00346,mass,Moscow,low,26,23,23,406571.62,16262.86,0.1538,0.7692,0.0385,2,103332.7,142662.88,25.04,5897.48,2.8499,1.0385,2.7576,4
U00351,mass,Kazan,low,101,62,17,515611.18,5793.38,0.3663,0.8614,0.1188,25,258096.27,182876.49,29.96,6180.02,2.8195,3.3709,0.9374,3
U00647,mass,Saint Petersburg,low,28,20,24,398550.03,14761.11,0.1429,0.7143,0.0357,2,164182.63,143356.01,26.6,5518.85,2.7801,1.0528,2.6747,3
U00192,mass,Nizhny Novgorod,low,24,20,23,429921.57,18692.24,0.125,0.9167,0.0417,2,162042.17,155156.27,25.39,6352.33,2.7709,0.9453,2.9426,1
U00110,mass,Saint Petersburg,low,27,23,22,379669.92,14602.69,0.1111,0.7037,0.037,3,148107.01,143356.01,26.6,5518.85,2.6484,1.0152,2.646,4
U00179,student,Saint Petersburg,medium,25,21,23,340375.1,13615.0,0.32,0.68,0.0,2,149755.94,136383.32,25.72,5531.12,2.4957,0.972,2.4615,1
U00569,affluent,Novosibirsk,low,117,70,27,549400.86,5232.39,0.2821,0.8462,0.1026,26,103633.25,224330.29,31.25,8098.0,2.4491,3.744,0.6461,1
U00462,mass,Moscow,low,28,23,23,346845.24,12846.12,0.0714,0.8571,0.0357,2,91456.49,142662.88,25.04,5897.48,2.4312,1.1183,2.1782,5
U00744,small_business,Moscow,medium,27,21,21,500785.89,18547.63,0.1852,0.8889,0.0,2,130054.11,207264.78,23.38,9166.95,2.4162,1.1551,2.0233,1
U00558,small_business,Saint Petersburg,high,30,24,26,536333.18,19154.76,0.1,0.6667,0.0667,2,162694.25,223901.1,25.6,9153.12,2.3954,1.1719,2.0927,1
U00020,affluent,Moscow,low,33,31,26,488131.4,14791.86,0.1818,0.8182,0.0,3,172810.69,207808.39,25.59,8288.05,2.3489,1.2897,1.7847,1
U00239,mass,Novosibirsk,low,26,23,22,325548.46,13021.94,0.0769,0.9231,0.0385,2,101693.03,139021.02,23.56,6026.12,2.3417,1.1034,2.1609,1
U00366,student,Kazan,medium,32,23,27,266507.86,8328.37,0.1563,0.6875,0.0,2,73376.91,116601.08,24.79,4777.09,2.2856,1.2911,1.7434,1
U00451,mass,Novosibirsk,low,19,16,16,317070.05,16687.9,0.2632,0.9474,0.0,2,94093.55,139021.02,23.56,6026.12,2.2807,0.8063,2.7693,2
